题目  答案
“三十功名尘与土，八千里路云和月。”是_____的诗句？	岳飞
“爆竹声中一岁除，春风送暖入屠苏”描写的是下列哪一个节日？	春节
“独在异乡为异客，每逢佳节倍思亲。”是谁的诗句？	王维
“玲珑骰子安红豆，入骨相思知不知”的作者是？	温庭筠
“生当作人杰，死亦为鬼雄。”“鬼雄”一词出自下列哪一部作品？	《楚辞》
“留取丹心照汗青”中的“汗青”是指以下哪一种物品？	史册
“笔落惊风雨，诗成泣鬼神”是下列哪一位诗人对李白的评价？	杜甫
“花甲”是指多少岁？	六十岁
“葡萄美酒夜光杯”的作者是谁？	王翰
“西出阳关无故人”中的“阳关”位于下列哪个省？	甘肃
“谁知盘中餐”的下一句是什么？	粒粒皆辛苦
“野火烧不尽，春风吹又生。”出自？	白居易《赋得古原草送别》
《七步诗》的作者是？	曹植
《山行》描绘了下列哪一个季节？	秋天
《我的世界》中两位主角分别叫什么名字？	史蒂夫、爱丽克丝
《我的世界》中悄无声息地接近玩家，当距离目标3格内就会开始爆炸的生物是？	爬行者
《我的世界》中玩家使用最多的工具是什么？	镐
《春夜喜雨》中“好雨知时节，当春乃发生”的“发生意思是”	萌发生长
《汉乐府·长歌行》“少壮不努力，老大徒_____”	伤悲
《登高》是下列唐代哪位诗人所写？	杜甫
《雨霖铃》的作者是下列哪一位？	柳永
一个末影龙火球最多可以收集到几瓶龙息？	12瓶
一旦惹怒蜜蜂，它的眼睛会变成什么颜色？	红色
一次合成可以获得以下哪种数量的火把？	4个
下列哪位词人与苏轼一样都是宋代词人豪放派代表人物？	辛弃疾
下列哪种怪物击败后掉落的经验最多？	烈焰人
下列文学家中，不属于“唐宋八大家”的是？	王勃
下列诗人不属于边塞诗人的是？	王维
下列诗篇中以描写音乐为内容的是？	《琵琶行》
下界中移动一格，会在主世界中移动几格的位置？	八格
下面不是词牌名的一项是？	绝句
从几格高的方块掉下去正好会让玩家游戏失败？	24
以下亮度等级中，最小会让雪融化的等级是？	12级
以下什么地方输入指令时，不需要加“/”？	控制台
以下什么生物会在主世界夜间地表生成？	僵尸
以下什么生物会在主世界日间地表生成？	海龟
以下几种方块在村民的路径计算中，具有最低的优先度成本。	草径
以下列表的资源中，哪种是会被附魔所消耗的？	经验
以下哪个地点可以将染色皮革洗掉颜色？	炼药锅
以下哪个场景能够找到萤石呢？	下界
以下哪个工具可以用于挖取黑曜石呢？	钻石镐
以下哪个数字是基岩版中的简单难度下的村庄袭击波数？	3
以下哪个数量是制作一个铁傀儡需要的铁块数量？	4个
以下哪个方块不会被活塞推动？	基岩
以下哪个物品是铁傀儡会献给幼年村民的？	虞美人
以下哪个生物群系不会有村庄生成？	丛林
以下哪个等级是光照的最大等级？	15级
以下哪个范围是刷怪笼的有效范围？	玩家在其身旁16格内
以下哪个高度会让玩家刚好受到一点掉落伤害？	第四格
以下哪些生物害怕下雨？	雪傀儡、末影人
以下哪句是诗人王安石《泊船瓜洲》中的名句?？	春风又绿江南岸
以下哪种不属于《我的世界》中的状态效果？	沉默
以下哪种工具可以将哞菇转化为牛？	剪刀
以下哪种工具可以将泥土转化为耕地？	锄
以下哪种工具可以用来生成草径	锹
以下哪种情况发生时，铁傀儡会攻击玩家？	玩家攻击其保护下的村民
以下哪种效果是牛奶不可以消除的？	着火
以下哪种方块不可以激活信标？	煤块
以下哪种方块会在雪傀儡脚下生成？	雪
以下哪种方块可以产生爆炸？	TNT
以下哪种方块可以用于维修工具呢？	铁砧
以下哪种方块可以被徒手开采？	原木
以下哪种方块可以让火永久燃烧？	下界岩
以下哪种方块在蜂巢下方放置后，可以避免蜜蜂对玩家展开攻击？	营火
以下哪种方块是可以使用竹子合成的？	木棍
以下哪种方块是末影人可以搬起的？	西瓜
以下哪种方块是红石粉不能放置在上方的呢？	树叶
以下哪种是一个高压爬行者再次被雷击中会产生的结果？	失败
以下哪种木头上可以让可可豆生长？	丛林木
以下哪种村民只可以通过绿宝石来购买物品？	流浪商人
以下哪种植物可用于品红色染料的合成？	丁香
以下哪种物品可以在对哞菇使用后获得蘑菇煲？	碗
以下哪种物品可以用来让牛繁殖？	小麦
以下哪种物品可以用来驯服狼？	骨头
以下哪种物品可以给羊染色？	黑色染料
以下哪种物品是羊的掉落物？	羊毛与羊肉
以下哪种生物会在击败后掉落火药？	爬行者
以下哪种生物会在唱片机响起之后跳舞？	鹦鹉
以下哪种生物会被羊驼会主动攻击？	野生的狼
以下哪种生物会让夜翼主动躲避？	猫
以下哪种生物具有搬运方块的能力？	末影人
以下哪种生物具有爆炸能力？	爬行者
以下哪种生物击败爬行者后，必然会掉落一张唱片？	骷髅
以下哪种生物可以通过僵尸在水下转化而来？	溺尸
以下哪种生物是幼年僵尸可以骑乘的？	蜘蛛
以下哪种生物是爬行者害怕的？	豹猫
以下哪种生物群落会让雪傀儡受到伤害？	下界
以下哪种生物能被拴绳拴住？	北极熊
以下哪种矿石可以被无附魔的木镐开采？	煤矿
以下哪种结构里会生成烈焰人？	下界要塞
以下哪种行为是流浪商人度过黑夜的方式？	喝下隐身药水
以下哪种解释是高饱和度的食物的价值所在？	降低饥饿值下降速度
以下哪种道具是《我的世界》中不存在的？	皮革护腿
以下哪种附魔可以增加对蠹虫的伤害？	节肢杀手
以下哪种食物会在被食用之后将玩家随机传送？	紫颂果
以下哪种食物可以救治僵尸村民？	金苹果
以下哪种高度为自然生成的甘蔗最高高度？	4格
以下四种生物中，哪种被闪电击中时不会改变形态？	牛
以下地点中，哪里可以发现守卫者？	海底神殿
以下情况中，哪种情况会让狐狸使用嘴中叼着的不死图腾？	受到导致游戏失败伤害的时候
以下数量中，哪个数量的书架可以让玩家获得可能最高的附魔等级？	15个
以下最能表达诗人和老朋友依依惜别的诗句是？	劝君更尽一杯酒
以下物品中不能作为燃料的是？	物品展示框
以下物品中，可以通过附魔台直接附魔的是？	铁剑
以下种颜色是史蒂夫裤子的颜色？	蓝色
以下药水中，会伤害亡灵生物的是？	瞬间治疗
以下行为中，哪种会让北极熊被激怒？	某生物靠近幼崽
以哪种鱼可以在丛林里钓鱼获得？	鲑鱼
你知道‘gamemode’这个指令的含义是什么吗？	游戏模式
你知道最罕见的岛的名称是什么吗？	蘑菇岛
佩戴以下哪种物品允许玩家看向末影人而不会被攻击？	雕刻过的南瓜
僵尸村民可以使用什么物品组合治愈？	虚弱药水+金苹果
击败一个潜影贝（无附魔）有多少的几率掉落一个潜影壳？	50%
制作兔肉煲不需要以下哪种材料？	燃料
千门万户瞳瞳日,总把新桃换旧符，描写的是什么节日的景象？	春节
单个红石信号最多可传输多少格（无中继器增强信号）？	15格
史蒂夫的英文名字是？	Steve
史蒂夫的衣服和什么角色的衣服是一样的？	僵尸
唐代孟浩然的《过故人庄》中“待到重阳日”的下一句是	还来就菊花
在以下哪种生物群系中，地下会有绿宝石矿生成？	山地
在挑战末影龙的过程中，哪种方块可以代替TNT快速清除铁栅栏？	床
在沙漠神殿的陷阱中会自然生成几个TNT？	9个
大型史莱姆一般会分裂出几个更小的史莱姆？	2~4个
如果想要一个铃铛音色的音符盒，那么需要在其下面放置什么方块？	金块
如果要创造无限水，那么至少需要几桶水？	2桶
屈原是下列哪一种风格的诗人？	浪漫主义
岁寒三友是松、竹和下列哪一种植物？	梅
幻翼会在至少几天不睡觉的玩家面前出现？	三天
张九龄的诗句“海上生明月,___共此时。”	天涯
当亮度高于以下哪个等级时，蜘蛛会变成中立生物？	11
我国古代诗人中号称“诗圣”的是？	杜甫
我国古代诗人王维也被称为什么？	诗佛
打倒末影龙后，龙蛋会掉落在以下哪个地点？	传送门旁
文天祥的诗句“人生自古谁无死，留取丹心照_____。”	汗青
晏殊的《浣溪沙》中的“无可奈何花落去”的下句是	似曾相识燕归来
末地折跃门在没有鞘翅的情况下，可以通过什么方法进入？	将末影珍珠丢入传送门
末影人被激怒后会有以下哪种变化？	张开嘴巴
末影螨会在什么方块上窒息？	灵魂沙
李白笔下的“飞流直下三千尺，疑是银河落九天”指的是哪个风景区?	庐山
李白诗歌的基本风格是下列哪一种？	豪放飘逸
李绅《悯农》诗中“四海无闲田，农夫犹饿死。”揭露的是	社会悲惨现状
杜甫的《春夜喜雨》中的“晓看红湿处”的下句是？	花重锦官城
杜甫被称为以下哪种称谓？	诗圣
每一个鸡蛋有多少概率生成小鸡？	八分之一
每次使用铁砧的时候，对其造成损毁的概率是多少？	12%
毒马铃薯是收成马铃薯时的稀有掉落物，成熟的马铃薯有多少几率在1-4马铃薯之外掉落1个毒马铃薯呢？	2%
活塞最多可以推动几个方块？	12个
海绵最多可以吸收多少格水？	65格
火把可以提供强度为多少的光照？	14级
熊猫一共有几种性格类型？	7种
爬行者的初始原型是什么动物？	猪
爱丽克丝的上衣是什么颜色呢？	绿色
爱丽克丝的英文名字是？	Alex
牛繁殖的冷却时间是几分钟？	5分钟
狐狸会主动攻击以下哪种生物？	鳕鱼
狐狸是可爱的小家伙，除了棕色的狐狸以外，还有以下哪种颜色的狐狸存在呢？	白色
王昌龄的诗句“但使龙城飞将在，不教胡马度_____。”	阴山
现实中多少分钟为游戏中的一天？	20分钟
白居易《长恨歌》的题材来自下列哪个故事？	李隆基与杨玉环之恋
粘性活塞最多能推动多少个方块？	12个
耐久度为零之后，铁镐会发生以下哪种变化？	消失
苏轼形容为“诗中有画，画中有诗”的是哪一位诗人？	王维
蛋糕最多可以食用几次？	7次
蜜蜂是中立型生物，在正常情况下，它的眼睛是什么颜色呢？	蓝色
被称为“诗鬼”的是下列哪一位唐代诗人？	李贺
诗人贾岛在“僧（   ）月下门”中最终是选了下列哪一个字？	敲
请问《九月九日忆山东兄弟》所描写的是下列哪一个节日？	重阳节
钻石矿一般在什么格（高）生成？	16以下
钻石镐的颜色是什么呢？	蓝色
铁矿可以用以下哪种方块熔炼？	熔炉
音符盒下方放置沙子，音符盒会发出以下哪种乐器的声音？	小军鼓
驯服的狼会在几格外瞬移到主人身旁？	12格
骷髅是一种装备了什么武器的亡灵生物？	弓
黑色染料除了墨囊之外，还可以用哪种物品来合成？	凋零玫瑰
龚自珍的《己亥杂诗》”落红不是无情物，化着春泥更护花。“中的“红”指的是？	花朵
